Question_codes,Question_codes(pt),Question_text,Question_text(pt),Question_conversion,Category,Subcategory,Group,Subgroup,Base_unit,Row
Response ID,Response.ID,Response ID,Response.ID,Response_ID,General,Response_ID,,,,
Response Status,Response.Status,Response Status,Response.Status,Response_Status,General,Response_Status,,,,
IP Address,IP.Address,IP Address,IP.Address,IP_Address,General,IP_Address,,,,
Timestamp (mm/dd/yyyy),Timestamp.(mm/dd/yyyy),Timestamp (mm/dd/yyyy),Timestamp.(mm/dd/yyyy),Timestamp_(mm/dd/yyyy),General,Timestamp_(mm/dd/yyyy),,,,
Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,General,Duplicate,,,,
Time Taken to Complete (Seconds),Time.Taken.to.Complete.(Seconds),Time Taken to Complete (Seconds),Time.Taken.to.Complete.(Seconds),Time_Taken_to_Complete_(Sec),General,Time_Taken_to_Complete_(Sec),,,Seconds,
Seq. Number,Seq..Number,Seq. Number,Seq..Number,Seq_Number,General,Seq_Number,,,,
External Reference,External.Reference,External Reference,External.Reference,External_Reference,General,External_Reference,,,,
Custom Variable 1,Custom.Variable.1,Custom Variable 1,Custom.Variable.1,Custom_Variable_1,General,Custom_Variable_1,,,,
Custom Variable 2,Custom.Variable.2,Custom Variable 2,Custom.Variable.2,Custom_Variable_2,General,Custom_Variable_2,,,,
Custom Variable 3,Custom.Variable.3,Custom Variable 3,Custom.Variable.3,Custom_Variable_3,General,Custom_Variable_3,,,,
Custom Variable 4,Custom.Variable.4,Custom Variable 4,Custom.Variable.4,Custom_Variable_4,General,Custom_Variable_4,,,,
Custom Variable 5,Custom.Variable.5,Custom Variable 5,Custom.Variable.5,Custom_Variable_5,General,Custom_Variable_5,,,,
Respondent Email,Respondent.Email,Respondent Email,Respondent.Email,Respondent_Email,General,Respondent_Email,,,,
Email List,Email.List,Email List,Email.List,Email_List,General,Email_List,,,,
Country Code,Country.Code,Country Code,Country.Code,Country_Code,General,Country_Code,,,,
Region,Region,Region,Region,Region,General,Region,,,,
