Nuts;Category;Subcategory;Group;Average_weight;Amount_of_fibre_gr/100gr;SDF_Hemicellulose;SDF_Pectin;ISD_Hemicellulose;ISD_Cellulose;ISD_Pectin;ISD_lignin;RS1;RS2;RS3;Chitin;Fructan
Cashew nuts/ cashewnoten;Diet;Nut;Cashew;9,2;3,3;0;0;16;28;0;7;23;0;0;0;0
Pistachio nuts /pistachenoten;Diet;Nut;Pistachio;0,57;10,6;0;0;16;28;0;7;1,4;0;0;0;0
Hazelnuts/hazelnoten;Diet;Nut;Hazelnuts;1,4;9,7;0,1;0;0,9;1,2;0,7;0,9;0,5;0;0;0;0
Pecan nuts/ pecannoten;Diet;Nut;Pecan;1,5;9,6;0,1;0;0,9;1,2;0,7;0,9;0,5;0;0;0;0
Walnuts/walnoten;Diet;Nut;Walnuts;9,4;6,7;0,1;0;0,9;1,2;0,7;0,9;0,06;0;0;0;0
Almonds/amandelen;Diet;Nut;Almonds;1,2;12,5;0,2;0;1,8;3,3;1,6;1,9;0,7;0;0;0;0
Peanuts/pindanoten;Diet;Nut;Peanuts;0,5;9,5;0,2;0;1,8;3,3;1,6;1,9;5;0;0;0;0
Macadamia nuts/macadamia noten;Diet;Nut;Academia;2,6;8,6;0,2;0;1,8;3,3;1,6;1,9;0,5;0;0;0;0
Brazil nuts/ paranoten;Diet;Nut;Brazil;5;7,2;0,2;0;1,8;3,3;1,6;1,9;0,25;0;0;0;0
Pine nuts;Diet;Nut;Pine_nuts;1,5;9,5;0,2;0;1,8;3,3;1,6;1,9;5;0;0;0;0
